username,score
pixel_pioneer,87
code_crusader,92
eco_wanderer,74
sunset_sniper,88
data_dragon,95
techsage23,63
astro_nomad,79
greenbyte_guru,84
urban_hiker,91
cyber_raven,77
quantum_quokka,85
midnight_coder,69
geoscript_jay,93
stormtracker92,81
mystic_matrix,76
brightbot,89
terra_trekker,94
byte_blossom,72
caffeine_owl,66
vividvector,98
aqua_archer,83
echo_ember,78
nova_builder,80
wanderwave,70
cleancode_cat,90
river_fox,65
zenith_zebra,97
neural_navigator,82
skyforge88,74
polarbinary,88
lumenleaf,92
data_duck,73
circuit_seeker,79
bluejay_coder,95
solar_syntax,86
mapmaster21,84
articulate_atom,99
orchidbyte,64
marblemaze,68
pioneer_penguin,75
eco_engineer,81
geo_junction,94
syntax_storm,87
dreamstream,89
vector_voyager,96
byteofeden,70
terra_tracer,85
cosmic_coral,78
neuronova,91
ocean_owl,80
